sentiment_coeff,tfidf_scores,text,sentiment_rate,normalized_sentiment_rate,pred
"[3.862275356454723, 23.079755501956264, 43.18644177179375, 27.40063059259712, 63.943068828987776, 105.41216302152692, 105.41215601708085, 28.519700937014683]","[4.261006054185113, 5.31516658028239, 4.579459785303648, 7.064366435091649, 6.841222883777439, 1.0034924366114992, 1.019953713665571, 7.352048507543429]",new post report reveals impacts climate change ireland,1390.891430980313,1.806084935016155,Very Negative
"[41.12905970434239, 63.55890090791743, 37.52932381349756, 34.87862478855217, 72.1307101775213, 105.41216302152692, 105.41215601708085]","[7.064366435091649, 6.658901326983484, 5.965754146423539, 6.371219254531703, 6.504750647156226, 1.0034924366114992, 1.019953713665571]",merkel developing nations hard questions climate change,1842.3813954779816,2.089281658065959,Negative
"[0, 91.65392401950162, 105.41216302152692, 105.41215601708085, 4.674369631193151, 105.41216302152692, 7.156612608490619, 37.70742854710667, 76.67999380605328, 0]","[7.757513615651594, 6.371219254531703, 2.0069848732229985, 1.019953713665571, 4.21655429161428, 2.0069848732229985, 5.118456286036335, 7.064366435091649, 7.064366435091649, 7.757513615651594]",fasting response climate change global climate changes agriculture sure affec,1978.9992079273632,2.1749750728441675,Negative
"[22.09123586140167, 105.41216302152692, 105.41215601708085, 42.40676691401584, 14.731257352286448]","[5.811603466596281, 1.0034924366114992, 1.019953713665571, 7.352048507543429, 7.352048507543429]",business climate change top_agenda apec_meeting,761.7628572586427,1.411464534863509,Very Negative
"[41.12905970434239, 0, 85.56961987292863, 16.76643170119589, 7.825001687762343, 39.8841120591926, 89.24266005736797, 105.41216302152692, 105.41215601708085, 0]","[7.064366435091649, 7.757513615651594, 7.064366435091649, 4.787099150081893, 5.965754146423539, 4.689460680517977, 5.965754146423539, 1.0034924366114992, 1.019953713665571, 7.757513615651594]",merkel proposes co2 plan help china combat climate change bloomberg,1954.7210794554883,2.1597466359670228,Negative
"[0, 0, 0, 0, 0, 0, 0, 0, 105.41216302152692, 105.41215601708085]","[7.757513615651594, 7.757513615651594, 7.757513615651594, 7.757513615651594, 7.757513615651594, 7.757513615651594, 7.757513615651594, 7.757513615651594, 1.0034924366114992, 1.019953713665571]",satellite downlinks move freq heavy storm clouds transparent climate change,213.2958283140768,1.0674390248595875,Very Negative
"[39.7001524926696, 0, 20.62931065226129, 36.79588065760896, 35.638698497308155, 4.674369631193151, 105.41216302152692, 105.41215601708085, 36.14142239724296, 42.58728640072564, 0]","[7.352048507543429, 7.757513615651594, 6.1480757032174935, 6.841222883777439, 5.965754146423539, 4.21655429161428, 1.0034924366114992, 1.019953713665571, 7.352048507543429, 7.352048507543429, 7.757513615651594]",sweltering trsp trying read article global climate change spanish es facile,1694.8713922573063,1.9967561252434525,Very Negative
"[74.24143224064507, 24.997752906374537, 45.12133794365121, 15.76037786894586, 105.41216302152692, 105.41215601708085, 32.30185134061799, 54.31648482685293, 60.68216133464705]","[6.841222883777439, 6.658901326983484, 6.25343621887532, 5.049463414549384, 1.0034924366114992, 1.019953713665571, 7.352048507543429, 6.504750647156226, 4.712991177928171]",comment_central best way tackle climate change vegetarianism poor al_gore,2126.194902668919,2.267303455921801,Negative
"[28.94077945308623, 86.65001341890985, 0, 44.2269836057714, 64.60287689201938, 89.97031128824688, 22.673196374468382, 0, 0, 16.277252568651377, 87.38574153720052, 105.41216302152692, 105.41215601708085]","[7.352048507543429, 6.658901326983484, 7.757513615651594, 6.841222883777439, 7.352048507543429, 7.064366435091649, 6.25343621887532, 7.757513615651594, 7.757513615651594, 5.560289038315375, 6.25343621887532, 1.0034924366114992, 1.019953713665571]",ocean experts bangor join expedition across north pole ship study impact climate change,3194.9298937974163,2.9376666336127952,Negative
"[91.22512615943852, 15.997125354045153, 0, 33.447458070186386, 37.3595222117618, 0, 71.65562048163935, 0, 39.676594954343, 105.41216302152692, 105.41215601708085, 29.77043844597581, 24.189943153211004]","[6.658901326983484, 7.352048507543429, 7.757513615651594, 6.371219254531703, 7.064366435091649, 7.757513615651594, 7.352048507543429, 7.757513615651594, 6.841222883777439, 1.0034924366114992, 1.019953713665571, 7.064366435091649, 6.841222883777439]",home 6 settleing research design experiential course combines concern climate change art technology,2589.439132895226,2.5578730328508943,Negative
